date,AS_MSCI_EM_AD_2022_Q3,meta
2022-06-30 00:00:00,265.13430744847733,
2022-06-30 01:00:00,242.27757294100235,
2022-06-30 02:30:00,242.27757294100235,
2022-06-30 03:00:00,242.27757294100235,
2022-06-30 18:30:00,242.27757294100235,
2022-06-30 20:00:00,242.27757294100235,
2022-06-30 23:00:00,165.52970485440918,
2022-06-30 23:59:59,150.20894349429588,c
2022-07-01 00:00:00,109.1604532246892,
2022-07-01 01:00:00,138.7969558281445,
2022-07-01 02:30:00,138.7969558281445,
2022-07-01 03:00:00,138.7969558281445,
2022-07-01 18:30:00,138.7969558281445,
2022-07-01 20:00:00,138.7969558281445,
2022-07-01 23:00:00,138.7969558281445,
2022-07-01 23:59:59,139.28514960409277,w
2022-07-04 00:00:00,100.53826481625867,
2022-07-04 01:00:00,87.94794159655144,
2022-07-04 02:30:00,87.94794159655144,
2022-07-04 03:00:00,87.94794159655144,
2022-07-04 18:30:00,87.94794159655144,
2022-07-04 20:00:00,87.94794159655144,
2022-07-04 23:00:00,62.70858751044325,
2022-07-04 23:59:59,40.830277163449374,c
2022-07-05 00:00:00,53.66945319404741,
2022-07-05 01:00:00,45.0498011593323,
2022-07-05 02:30:00,45.0498011593323,
2022-07-05 03:00:00,45.0498011593323,
2022-07-05 18:30:00,45.0498011593323,
2022-07-05 20:00:00,45.0498011593323,
2022-07-05 23:00:00,28.557487019920835,
2022-07-05 23:59:59,-1.8956157948642627,c
2022-07-06 00:00:00,18.034704282903796,
2022-07-06 01:00:00,17.206198255383192,
2022-07-06 02:30:00,17.206198255383192,
2022-07-06 03:00:00,17.206198255383192,
2022-07-06 18:30:00,17.206198255383192,
2022-07-06 20:00:00,17.206198255383192,
2022-07-06 23:00:00,111.38715970008667,
2022-07-06 23:59:59,92.46759541027284,c
2022-07-07 00:00:00,83.93794325962935,
2022-07-07 01:00:00,114.51430774723457,
2022-07-07 02:30:00,114.51430774723457,
2022-07-07 03:00:00,114.51430774723457,
2022-07-07 18:30:00,114.51430774723457,
2022-07-07 20:00:00,114.51430774723457,
2022-07-07 23:00:00,146.05435209050026,
2022-07-07 23:59:59,145.32110443769108,c
2022-07-08 00:00:00,127.24201765071572,
2022-07-08 01:00:00,135.15621527888374,
2022-07-08 02:30:00,135.15621527888374,
2022-07-08 03:00:00,135.15621527888374,
2022-07-08 18:30:00,135.15621527888374,
2022-07-08 20:00:00,135.15621527888374,
2022-07-08 23:00:00,135.15621527888374,
2022-07-08 23:59:59,118.5778323784837,w
2022-07-11 00:00:00,36.462100798009445,
2022-07-11 01:00:00,21.45394034353724,
2022-07-11 02:30:00,21.45394034353724,
2022-07-11 03:00:00,21.45394034353724,
2022-07-11 18:30:00,21.45394034353724,
2022-07-11 20:00:00,21.45394034353724,
2022-07-11 23:00:00,8.360040431697485,
2022-07-11 23:59:59,-14.864540855727023,c
2022-07-12 00:00:00,-36.9615087935755,
2022-07-12 01:00:00,-41.592154621996045,
2022-07-12 02:30:00,-41.592154621996045,
2022-07-12 03:00:00,-41.592154621996045,
2022-07-12 18:30:00,-41.592154621996045,
2022-07-12 20:00:00,-41.592154621996045,
2022-07-12 23:00:00,-21.131582886585946,
2022-07-12 23:59:59,-47.5133746540433,c
2022-07-13 00:00:00,-60.33183043958301,
2022-07-13 01:00:00,-46.127053583849026,
2022-07-13 02:30:00,-46.127053583849026,
2022-07-13 03:00:00,-46.127053583849026,
2022-07-13 18:30:00,-46.127053583849026,
2022-07-13 20:00:00,-46.127053583849026,
2022-07-13 23:00:00,-46.127053583849026,
2022-07-13 23:59:59,-64.12111650967842,c
2022-07-14 00:00:00,-55.978201782741266,
2022-07-14 01:00:00,-55.978201782741266,
2022-07-14 02:30:00,-55.978201782741266,
2022-07-14 03:00:00,-55.978201782741266,
2022-07-14 18:30:00,-55.978201782741266,
2022-07-14 20:00:00,-55.978201782741266,
2022-07-14 23:00:00,-55.978201782741266,
2022-07-14 23:59:59,0.0,c
2022-07-15 00:00:00,0.0,
2022-07-15 01:00:00,0.0,
2022-07-15 02:30:00,0.0,
2022-07-15 03:00:00,0.0,
2022-07-15 18:30:00,0.0,
2022-07-15 20:00:00,0.0,
2022-07-15 23:00:00,0.0,
2022-07-15 23:59:59,0.0,w
2022-07-18 00:00:00,0.0,
2022-07-18 01:00:00,0.0,
2022-07-18 02:30:00,0.0,
2022-07-18 03:00:00,0.0,
2022-07-18 18:30:00,0.0,
2022-07-18 20:00:00,0.0,
2022-07-18 23:00:00,0.0,
2022-07-18 23:59:59,0.0,c
2022-07-19 00:00:00,0.0,
2022-07-19 01:00:00,0.0,
2022-07-19 02:30:00,0.0,
2022-07-19 03:00:00,0.0,
2022-07-19 18:30:00,0.0,
2022-07-19 20:00:00,0.0,
2022-07-19 23:00:00,0.0,
2022-07-19 23:59:59,0.0,c
2022-07-20 00:00:00,0.0,
2022-07-20 01:00:00,0.0,
2022-07-20 02:30:00,0.0,
2022-07-20 03:00:00,0.0,
2022-07-20 18:30:00,0.0,
2022-07-20 20:00:00,0.0,
2022-07-20 23:00:00,0.0,
2022-07-20 23:59:59,0.0,c
2022-07-21 00:00:00,0.0,
2022-07-21 01:00:00,0.0,
2022-07-21 02:30:00,0.0,
2022-07-21 03:00:00,0.0,
2022-07-21 18:30:00,0.0,
2022-07-21 20:00:00,0.0,
2022-07-21 23:00:00,0.0,
2022-07-21 23:59:59,0.0,c
2022-07-22 00:00:00,0.0,
2022-07-22 01:00:00,0.0,
2022-07-22 02:30:00,0.0,
2022-07-22 03:00:00,0.0,
2022-07-22 18:30:00,0.0,
2022-07-22 20:00:00,0.0,
2022-07-22 23:00:00,0.0,
2022-07-22 23:59:59,0.0,w
2022-07-25 00:00:00,0.0,
2022-07-25 01:00:00,0.0,
2022-07-25 02:30:00,0.0,
2022-07-25 03:00:00,0.0,
2022-07-25 18:30:00,0.0,
2022-07-25 20:00:00,0.0,
2022-07-25 23:00:00,0.0,
2022-07-25 23:59:59,0.0,c
2022-07-26 00:00:00,0.0,
2022-07-26 01:00:00,0.0,
2022-07-26 02:30:00,0.0,
2022-07-26 03:00:00,0.0,
2022-07-26 18:30:00,0.0,
2022-07-26 20:00:00,0.0,
2022-07-26 23:00:00,0.0,
2022-07-26 23:59:59,0.0,c
2022-07-27 00:00:00,0.0,
2022-07-27 01:00:00,0.0,
2022-07-27 02:30:00,0.0,
2022-07-27 03:00:00,0.0,
2022-07-27 18:30:00,0.0,
2022-07-27 20:00:00,0.0,
2022-07-27 23:00:00,0.0,
2022-07-27 23:59:59,0.0,c
2022-07-28 00:00:00,0.0,
2022-07-28 01:00:00,0.0,
2022-07-28 02:30:00,0.0,
2022-07-28 03:00:00,0.0,
2022-07-28 18:30:00,0.0,
2022-07-28 20:00:00,0.0,
2022-07-28 23:00:00,0.0,
2022-07-28 23:59:59,0.0,c
2022-07-29 00:00:00,0.0,
2022-07-29 01:00:00,0.0,
2022-07-29 02:30:00,0.0,
2022-07-29 03:00:00,0.0,
2022-07-29 18:30:00,0.0,
2022-07-29 20:00:00,0.0,
2022-07-29 23:00:00,0.0,
2022-07-29 23:59:59,0.0,w
2022-08-01 00:00:00,0.0,
2022-08-01 01:00:00,0.0,
2022-08-01 02:30:00,0.0,
2022-08-01 03:00:00,0.0,
2022-08-01 18:30:00,0.0,
2022-08-01 20:00:00,0.0,
2022-08-01 23:00:00,0.0,
2022-08-01 23:59:59,0.0,c
2022-08-02 00:00:00,0.0,
2022-08-02 01:00:00,0.0,
2022-08-02 02:30:00,0.0,
2022-08-02 03:00:00,0.0,
2022-08-02 18:30:00,0.0,
2022-08-02 20:00:00,0.0,
2022-08-02 23:00:00,0.0,
2022-08-02 23:59:59,0.0,c
2022-08-03 00:00:00,0.0,
2022-08-03 01:00:00,0.0,
2022-08-03 02:30:00,0.0,
2022-08-03 03:00:00,0.0,
2022-08-03 18:30:00,0.0,
2022-08-03 20:00:00,0.0,
2022-08-03 23:00:00,0.0,
2022-08-03 23:59:59,0.0,c
2022-08-04 00:00:00,0.0,
2022-08-04 01:00:00,0.0,
2022-08-04 02:30:00,0.0,
2022-08-04 03:00:00,0.0,
2022-08-04 18:30:00,0.0,
2022-08-04 20:00:00,0.0,
2022-08-04 23:00:00,0.0,
2022-08-04 23:59:59,0.0,c
2022-08-05 00:00:00,0.0,
2022-08-05 01:00:00,0.0,
2022-08-05 02:30:00,0.0,
2022-08-05 03:00:00,0.0,
2022-08-05 18:30:00,0.0,
2022-08-05 20:00:00,0.0,
2022-08-05 23:00:00,0.0,
2022-08-05 23:59:59,0.0,w
2022-08-08 00:00:00,0.0,
2022-08-08 01:00:00,0.0,
2022-08-08 02:30:00,0.0,
2022-08-08 03:00:00,0.0,
2022-08-08 18:30:00,0.0,
2022-08-08 20:00:00,0.0,
2022-08-08 23:00:00,0.0,
2022-08-08 23:59:59,0.0,c
2022-08-09 00:00:00,0.0,
2022-08-09 01:00:00,0.0,
2022-08-09 02:30:00,0.0,
2022-08-09 03:00:00,0.0,
2022-08-09 18:30:00,0.0,
2022-08-09 20:00:00,0.0,
2022-08-09 23:00:00,0.0,
2022-08-09 23:59:59,0.0,c
2022-08-10 00:00:00,0.0,
2022-08-10 01:00:00,0.0,
2022-08-10 02:30:00,0.0,
2022-08-10 03:00:00,0.0,
2022-08-10 18:30:00,0.0,
2022-08-10 20:00:00,0.0,
2022-08-10 23:00:00,0.0,
2022-08-10 23:59:59,0.0,c
2022-08-11 00:00:00,0.0,
2022-08-11 01:00:00,0.0,
2022-08-11 02:30:00,0.0,
2022-08-11 03:00:00,0.0,
2022-08-11 18:30:00,0.0,
2022-08-11 20:00:00,0.0,
2022-08-11 23:00:00,0.0,
2022-08-11 23:59:59,0.0,a
2022-08-12 00:00:00,0.0,
2022-08-12 01:00:00,0.0,
2022-08-12 02:30:00,0.0,
2022-08-12 03:00:00,0.0,
2022-08-12 18:30:00,0.0,
2022-08-12 20:00:00,0.0,
2022-08-12 23:00:00,0.0,
2022-08-12 23:59:59,0.0,w
2022-08-15 00:00:00,0.0,
2022-08-15 01:00:00,0.0,
2022-08-15 02:30:00,0.0,
2022-08-15 03:00:00,0.0,
2022-08-15 18:30:00,0.0,
2022-08-15 20:00:00,0.0,
2022-08-15 23:00:00,0.0,
2022-08-15 23:59:59,0.0,c
2022-08-16 00:00:00,0.0,
2022-08-16 01:00:00,0.0,
2022-08-16 02:30:00,0.0,
2022-08-16 03:00:00,0.0,
2022-08-16 18:30:00,0.0,
2022-08-16 20:00:00,0.0,
2022-08-16 23:00:00,0.0,
2022-08-16 23:59:59,0.0,c
0,0.0,
0,0.0,
0,0.0,
0,0.0,
0,0.0,
0,0.0,
0,0.0,
0,0.0,
0,0.0,
0,0.0,
0,0.0,
0,0.0,
0,0.0,
0,0.0,
0,0.0,
0,0.0,
2022-08-17 00:00:00,0.0,
2022-08-17 01:00:00,0.0,
2022-08-17 02:30:00,0.0,
2022-08-17 03:00:00,0.0,
2022-08-17 18:30:00,0.0,
2022-08-17 20:00:00,0.0,
2022-08-17 23:00:00,0.0,
2022-08-17 23:59:59,0.0,c
2022-08-18 00:00:00,0.0,
2022-08-18 01:00:00,0.0,
2022-08-18 02:30:00,0.0,
2022-08-18 03:00:00,0.0,
2022-08-18 18:30:00,0.0,
2022-08-18 20:00:00,0.0,
2022-08-18 23:00:00,0.0,
2022-08-18 23:59:59,0.0,c
2022-08-19 00:00:00,0.0,
2022-08-19 01:00:00,0.0,
2022-08-19 02:30:00,0.0,
2022-08-19 03:00:00,0.0,
2022-08-19 18:30:00,0.0,
2022-08-19 20:00:00,0.0,
2022-08-19 23:00:00,0.0,
2022-08-19 23:59:59,0.0,w
2022-08-22 00:00:00,0.0,
2022-08-22 01:00:00,0.0,
2022-08-22 02:30:00,0.0,
2022-08-22 03:00:00,0.0,
2022-08-22 18:30:00,0.0,
