date,MID_2022_Q3,meta
2022-07-29 00:00:00,113.33904965576119,
2022-07-29 10:00:00,90.66690050096338,
2022-07-29 10:30:00,107.44858792236744,
2022-07-29 12:00:00,95.07545388999552,
2022-07-29 13:30:00,61.67188907590844,
2022-07-29 15:00:00,52.916858958041644,
2022-07-29 15:30:30,52.916858958041644,
2022-07-29 23:59:59,66.73352358187344,w
2022-08-01 00:00:00,38.790560518316965,
2022-08-01 10:00:00,48.817090356837184,
2022-08-01 10:30:00,39.28301249317201,
2022-08-01 12:00:00,41.05339774557967,
2022-08-01 13:30:00,37.2393224060188,
2022-08-01 15:00:00,37.70757798740476,
2022-08-01 15:30:30,37.70757798740476,
2022-08-01 23:59:59,46.14680144224894,c
2022-08-02 00:00:00,0.3834187022566766,
2022-08-02 10:00:00,83.17550856702644,
2022-08-02 10:30:00,98.88310110379336,
2022-08-02 12:00:00,116.07931925834271,
2022-08-02 13:30:00,107.61904112616003,
2022-08-02 15:00:00,97.12253001319664,
2022-08-02 15:30:30,97.12253001319664,
2022-08-02 23:59:59,116.45724623978583,c
2022-08-03 00:00:00,78.49668592672151,
2022-08-03 10:00:00,76.99539872892456,
2022-08-03 10:30:00,93.0990080783863,
2022-08-03 12:00:00,70.41569025843387,
2022-08-03 13:30:00,65.18507010776182,
2022-08-03 15:00:00,115.5986659117873,
2022-08-03 15:30:30,115.5986659117873,
2022-08-03 23:59:59,81.02297893432012,c
2022-08-04 00:00:00,49.95183108035792,
2022-08-04 10:00:00,-16.102117405416834,
2022-08-04 10:30:00,42.82230687399249,
2022-08-04 12:00:00,51.111378911302495,
2022-08-04 13:30:00,35.434652528627,
2022-08-04 15:00:00,76.88198631241096,
2022-08-04 15:30:30,76.88198631241096,
2022-08-04 23:59:59,48.635319087822836,c
2022-08-05 00:00:00,17.396989788081214,
2022-08-05 10:00:00,50.34710300364941,
2022-08-05 10:30:00,66.79215586616772,
2022-08-05 12:00:00,48.18855683065556,
2022-08-05 13:30:00,54.64877151960263,
2022-08-05 15:00:00,25.717500200567542,
2022-08-05 15:30:30,25.717500200567542,
2022-08-05 23:59:59,36.628493155048545,w
2022-08-08 00:00:00,31.63620079310988,
2022-08-08 10:00:00,-3.820083147131413,
2022-08-08 10:30:00,-4.667921110534735,
2022-08-08 12:00:00,-36.87893997968882,
2022-08-08 13:30:00,-42.85990915234004,
2022-08-08 15:00:00,-37.30819297142574,
2022-08-08 15:30:30,-37.30819297142574,
2022-08-08 23:59:59,-24.60414472127877,c
2022-08-09 00:00:00,-53.40928724588139,
2022-08-09 10:00:00,-3.851989833965945,
2022-08-09 10:30:00,-15.390896667226912,
2022-08-09 12:00:00,9.576792236741312,
2022-08-09 13:30:00,18.119946287748007,
2022-08-09 15:00:00,1.839127378431158,
2022-08-09 15:30:30,1.839127378431158,
2022-08-09 23:59:59,-15.023440250371038,c
2022-08-10 00:00:00,-42.293905431597466,
2022-08-10 10:00:00,-58.8297077475674,
2022-08-10 10:30:00,-95.20037513349473,
2022-08-10 12:00:00,-65.81143173790207,
2022-08-10 13:30:00,-60.59846457228542,
2022-08-10 15:00:00,-62.720125116698625,
2022-08-10 15:30:30,-62.720125116698625,
2022-08-10 23:59:59,-35.63144408875917,c
2022-08-11 00:00:00,-4.213975927061028,
2022-08-11 10:00:00,-1.5845707880914688,
2022-08-11 10:30:00,-14.78593583884168,
2022-08-11 12:00:00,30.036252767076917,
2022-08-11 13:30:00,52.0619636911041,
2022-08-11 15:00:00,52.128414324755,
2022-08-11 15:30:30,52.128414324755,
2022-08-11 23:59:59,37.421296378031684,c
2022-08-12 00:00:00,20.295382048263832,
2022-08-12 10:00:00,-24.653629529128352,
2022-08-12 10:30:00,-36.29587559559161,
2022-08-12 12:00:00,-32.98425364095709,
2022-08-12 13:30:00,-40.904084968609595,
2022-08-12 15:00:00,-57.64032756854567,
2022-08-12 15:30:30,-57.64032756854567,s
2022-08-12 23:59:59,-42.23252204492792,w
2022-08-15 00:00:00,-72.98971156127152,
2022-08-15 10:00:00,-117.31670365675865,
2022-08-15 10:30:00,-113.26197797630618,
2022-08-15 12:00:00,-76.83435592319887,
2022-08-15 13:30:00,-66.96638465686573,
2022-08-15 15:00:00,-82.75337938387639,
2022-08-15 15:30:30,-82.75337938387639,
2022-08-15 23:59:59,-63.27152386631269,c
2022-08-16 00:00:00,34.71511987135773,
2022-08-16 10:00:00,-4.566825993569864,
2022-08-16 10:30:00,16.725619766561863,
2022-08-16 12:00:00,-35.62700724045362,
2022-08-16 13:30:00,-63.503150071790856,
2022-08-16 15:00:00,-48.95123339259925,
2022-08-16 15:30:30,-48.95123339259925,
2022-08-16 23:59:59,-46.037315932095794,c
2022-08-17 00:00:00,-18.43625431818549,
2022-08-17 10:00:00,-3.8808517137792933,
2022-08-17 10:30:00,-20.080410272779545,
2022-08-17 12:00:00,-51.104430125279464,
2022-08-17 13:30:00,-32.227483903669054,
2022-08-17 15:00:00,-33.42463669394431,
2022-08-17 15:30:30,-33.42463669394431,
2022-08-17 23:59:59,0.0,c
2022-08-18 00:00:00,0.0,
2022-08-18 10:00:00,0.0,
2022-08-18 10:30:00,0.0,
2022-08-18 12:00:00,0.0,
2022-08-18 13:30:00,0.0,
2022-08-18 15:00:00,0.0,
2022-08-18 15:30:30,0.0,
2022-08-18 23:59:59,0.0,c
2022-08-19 00:00:00,0.0,
2022-08-19 10:00:00,0.0,
2022-08-19 10:30:00,0.0,
2022-08-19 12:00:00,0.0,
2022-08-19 13:30:00,0.0,
2022-08-19 15:00:00,0.0,
2022-08-19 15:30:30,0.0,
2022-08-19 23:59:59,0.0,w
2022-08-22 00:00:00,0.0,
2022-08-22 10:00:00,0.0,
2022-08-22 10:30:00,0.0,
2022-08-22 12:00:00,0.0,
2022-08-22 13:30:00,0.0,
2022-08-22 15:00:00,0.0,
2022-08-22 15:30:30,0.0,
2022-08-22 23:59:59,0.0,c
2022-08-23 00:00:00,0.0,
2022-08-23 10:00:00,0.0,
