date,R2_STAY_2022_Q3,meta
2022-07-08 00:00:00,-24.269688928320335,
2022-07-08 10:00:00,-13.281945674936935,
2022-07-08 10:30:00,22.320966236642974,
2022-07-08 12:00:00,62.474233809663446,
2022-07-08 13:30:00,44.593209707849454,
2022-07-08 15:00:00,48.237244484177566,
2022-07-08 15:30:30,48.237244484177566,
2022-07-08 23:59:59,30.667910368820316,w
2022-07-11 00:00:00,74.46794670731379,
2022-07-11 10:00:00,-17.666991415311657,
2022-07-11 10:30:00,-2.659492023428271,
2022-07-11 12:00:00,-38.03256707288921,
2022-07-11 13:30:00,-36.72940508852554,
2022-07-11 15:00:00,-25.264356602719857,
2022-07-11 15:30:30,-25.264356602719857,
2022-07-11 23:59:59,-54.51473315140399,c
2022-07-12 00:00:00,0.36174982968609015,
2022-07-12 10:00:00,-75.68146758291812,
2022-07-12 10:30:00,-79.53490362249477,
2022-07-12 12:00:00,-77.04009272673096,
2022-07-12 13:30:00,-80.2708775958724,
2022-07-12 15:00:00,-60.18952601494723,
2022-07-12 15:30:30,-60.18952601494723,
2022-07-12 23:59:59,-66.03300294103155,c
2022-07-13 00:00:00,-54.21361368872988,
2022-07-13 10:00:00,-39.94940635068133,
2022-07-13 10:30:00,-73.01849335420323,
2022-07-13 12:00:00,-67.60743241994865,
2022-07-13 13:30:00,-70.80593547468831,
2022-07-13 15:00:00,-82.08256218195487,
2022-07-13 15:30:30,-82.08256218195487,
2022-07-13 23:59:59,-74.51346659401258,c
2022-07-14 00:00:00,-46.53546729202452,
2022-07-14 10:00:00,-49.62098266006268,
2022-07-14 10:30:00,-50.92887086300618,
2022-07-14 12:00:00,-52.23614348408711,
2022-07-14 13:30:00,-52.38941349408532,
2022-07-14 15:00:00,-60.67217956349904,
2022-07-14 15:30:30,-60.67217956349904,
2022-07-14 23:59:59,-43.194376296375964,c
2022-07-15 00:00:00,-37.39033544650144,
2022-07-15 10:00:00,-73.33071007431806,
2022-07-15 10:30:00,-65.24109285477513,
2022-07-15 12:00:00,-31.97385416570998,
2022-07-15 13:30:00,-23.558822764693616,
2022-07-15 15:00:00,-53.80452605232492,
2022-07-15 15:30:30,-53.80452605232492,
2022-07-15 23:59:59,-37.08025932352527,w
2022-07-18 00:00:00,-33.314933605715794,
2022-07-18 10:00:00,-34.51848823492509,
2022-07-18 10:30:00,-18.701196769302157,
2022-07-18 12:00:00,2.9560680798575163,
2022-07-18 13:30:00,-7.6517312319788005,
2022-07-18 15:00:00,-23.093515137967046,
2022-07-18 15:30:30,-23.093515137967046,
2022-07-18 23:59:59,-10.680321132626801,c
2022-07-19 00:00:00,-36.409325835836114,
2022-07-19 10:00:00,-41.34960807709609,
2022-07-19 10:30:00,-39.75639203199461,
2022-07-19 12:00:00,-40.47242333847703,
2022-07-19 13:30:00,-54.23642824197711,
2022-07-19 15:00:00,-61.374929801586376,
2022-07-19 15:30:30,-61.374929801586376,
2022-07-19 23:59:59,-36.836738611697996,c
2022-07-20 00:00:00,-38.281757641534426,
2022-07-20 10:00:00,-32.63379307380907,
2022-07-20 10:30:00,-19.422206126692885,
2022-07-20 12:00:00,-8.178799368732541,
2022-07-20 13:30:00,-33.385178693368914,
2022-07-20 15:00:00,-30.894814894598284,
2022-07-20 15:30:30,-30.894814894598284,
2022-07-20 23:59:59,-2.1054421644038825,c
2022-07-21 00:00:00,23.8043903783188,
2022-07-21 10:00:00,-61.84570952000442,
2022-07-21 10:30:00,-65.72894341757342,
2022-07-21 12:00:00,-81.85391600678116,
2022-07-21 13:30:00,-65.59467930041788,
2022-07-21 15:00:00,-48.07674922149374,
2022-07-21 15:30:30,-48.07674922149374,
2022-07-21 23:59:59,-65.44386685926023,c
2022-07-22 00:00:00,-60.305037653146286,
2022-07-22 10:00:00,-101.71756659147812,
2022-07-22 10:30:00,-116.13430768287765,
2022-07-22 12:00:00,-145.11800267775698,
2022-07-22 13:30:00,-149.93644851792658,
2022-07-22 15:00:00,-145.38129830788245,
2022-07-22 15:30:30,-145.38129830788245,
2022-07-22 23:59:59,-147.81975152251476,w
2022-07-25 00:00:00,-134.97694584902916,
2022-07-25 10:00:00,-215.43492005531175,
2022-07-25 10:30:00,-212.3795492801371,
2022-07-25 12:00:00,-194.73903702834127,
2022-07-25 13:30:00,-166.32785668490328,
2022-07-25 15:00:00,-167.7515671106185,
2022-07-25 15:30:30,-167.7515671106185,
2022-07-25 23:59:59,-173.29750439247834,c
2022-07-26 00:00:00,-195.34603480320266,
2022-07-26 10:00:00,-181.08267556493377,
2022-07-26 10:30:00,-189.4066883728214,
2022-07-26 12:00:00,-144.9976836326988,
2022-07-26 13:30:00,-108.53784459780542,
2022-07-26 15:00:00,-113.69463365458074,
2022-07-26 15:30:30,-113.69463365458074,
2022-07-26 23:59:59,-124.00543538187316,c
2022-07-27 00:00:00,-116.62626390141321,
2022-07-27 10:00:00,-152.79377780897647,
2022-07-27 10:30:00,-123.42264948059005,
2022-07-27 12:00:00,-88.23931860817703,
2022-07-27 13:30:00,-94.06399003844501,
2022-07-27 15:00:00,-98.03057826257321,
