date,EU_WAT_2022_Q2,meta
2022-04-14 00:00:00,275.17798563712176,
2022-04-14 03:30:00,303.98479908676654,
2022-04-14 04:00:00,320.7485687023268,
2022-04-14 06:00:00,337.68106178740163,
2022-04-14 08:00:00,368.1853213512363,
2022-04-14 10:30:00,341.27912468868135,
2022-04-14 11:00:00,350.631542473458,
2022-04-14 23:59:59,381.788227259447,c
2022-04-15 00:00:00,381.788227259447,
2022-04-15 03:30:00,381.788227259447,
2022-04-15 04:00:00,381.788227259447,
2022-04-15 06:00:00,381.788227259447,
2022-04-15 08:00:00,381.788227259447,
2022-04-15 10:30:00,381.788227259447,
2022-04-15 11:00:00,381.788227259447,
2022-04-15 23:59:59,381.788227259447,w
2022-04-18 00:00:00,381.788227259447,
2022-04-18 03:30:00,381.788227259447,
2022-04-18 04:00:00,381.788227259447,
2022-04-18 06:00:00,381.788227259447,
2022-04-18 08:00:00,381.788227259447,
2022-04-18 10:30:00,381.788227259447,
2022-04-18 11:00:00,381.788227259447,
2022-04-18 23:59:59,381.788227259447,c
2022-04-19 00:00:00,420.71122149177836,
2022-04-19 03:30:00,396.57288526185266,
2022-04-19 04:00:00,375.8273579247184,
2022-04-19 06:00:00,424.77553863982394,
2022-04-19 08:00:00,441.3285498038276,
2022-04-19 10:30:00,405.41507412092005,
2022-04-19 11:00:00,401.4402822041907,
2022-04-19 23:59:59,399.0529942669159,c
2022-04-20 00:00:00,409.8069415506907,
2022-04-20 03:30:00,442.2054353413205,
2022-04-20 04:00:00,442.4563449231,
2022-04-20 06:00:00,442.3646595497112,
2022-04-20 08:00:00,479.7452864278598,
2022-04-20 10:30:00,491.9262530910796,
2022-04-20 11:00:00,472.70623120407845,
2022-04-20 23:59:59,494.2945014632096,c
2022-04-21 00:00:00,479.82528872545663,
2022-04-21 03:30:00,498.24332424398017,
2022-04-21 04:00:00,528.4389373261606,
2022-04-21 06:00:00,502.14015611702644,
2022-04-21 08:00:00,496.2743911527182,
2022-04-21 10:30:00,476.9338360131387,
2022-04-21 11:00:00,475.381040772133,
2022-04-21 23:59:59,461.35688273075675,c
2022-04-22 00:00:00,451.6543581554747,
2022-04-22 03:30:00,502.1030943977885,
2022-04-22 04:00:00,465.99737563481403,
2022-04-22 06:00:00,418.44500774964445,
2022-04-22 08:00:00,423.5084987736882,
2022-04-22 10:30:00,421.816071977933,
2022-04-22 11:00:00,433.53518735385387,
2022-04-22 23:59:59,451.7851314260979,w
2022-04-25 00:00:00,393.75069042736004,
2022-04-25 03:30:00,441.93988674649745,
2022-04-25 04:00:00,410.99271942001633,
2022-04-25 06:00:00,324.2875091723945,
2022-04-25 08:00:00,393.8642788923612,
2022-04-25 10:30:00,422.94947240002284,
2022-04-25 11:00:00,422.0668709750139,
2022-04-25 23:59:59,415.8357730852067,c
2022-04-26 00:00:00,423.66624612197575,
2022-04-26 03:30:00,336.5577461759499,
2022-04-26 04:00:00,324.79404470786767,
2022-04-26 06:00:00,316.9072019440182,
2022-04-26 08:00:00,547.6613816320714,
2022-04-26 10:30:00,541.5515699833645,
2022-04-26 11:00:00,515.009054612518,
2022-04-26 23:59:59,522.0653770015847,c
2022-04-27 00:00:00,540.7182626116241,
2022-04-27 03:30:00,511.6103382898882,
2022-04-27 04:00:00,498.9317289529472,
2022-04-27 06:00:00,471.63879246241777,
2022-04-27 08:00:00,465.0169620425859,
2022-04-27 10:30:00,468.23500581446115,
2022-04-27 11:00:00,478.1582963497126,
2022-04-27 23:59:59,507.7600720377054,c
2022-04-28 00:00:00,516.5737543035525,
2022-04-28 03:30:00,527.8242176520998,
2022-04-28 04:00:00,523.5552090489846,
2022-04-28 06:00:00,466.93682460968876,
2022-04-28 08:00:00,477.2120884028118,
2022-04-28 10:30:00,425.29621107954927,
2022-04-28 11:00:00,442.6384582725718,
2022-04-28 23:59:59,475.70983326556734,c
2022-04-29 00:00:00,526.8580777594584,
2022-04-29 03:30:00,585.043836477626,
2022-04-29 04:00:00,581.3629441618732,
2022-04-29 06:00:00,554.1395341624188,
2022-04-29 08:00:00,529.3689009173168,
2022-04-29 10:30:00,507.3883267358824,
2022-04-29 11:00:00,538.5994839917903,
2022-04-29 23:59:59,538.8410775563202,w
2022-05-02 00:00:00,549.3230278178012,
2022-05-02 03:30:00,560.4738110728231,
2022-05-02 04:00:00,701.3483454410648,
2022-05-02 06:00:00,591.9338099839997,
2022-05-02 08:00:00,620.4290597208942,
2022-05-02 10:30:00,608.1092546210325,
2022-05-02 11:00:00,618.0364469472343,
2022-05-02 23:59:59,622.2957905924491,c
2022-05-03 00:00:00,563.785462268067,
2022-05-03 03:30:00,590.4453773550995,
2022-05-03 04:00:00,580.5265945329552,
2022-05-03 06:00:00,560.5233561741384,
2022-05-03 08:00:00,490.1039139189629,
2022-05-03 10:30:00,459.8334819705706,
2022-05-03 11:00:00,448.0798127921862,
2022-05-03 23:59:59,492.27245417240056,c
2022-05-04 00:00:00,493.57656844467647,
